ID,Reference,Data source,Longitude,Latitude,Elevation,MAT,MAP,PET,Climate,Ecosystem type,Methods,Site,MurA,GlcN,SOC,TN,TP,C/N,MBC,MBN,MBC/N,pH,Sand,Silt,Clay
54,5,A1,96.67,40.80,1573,10.90,792.00,1810,B,Grassland,GC,"Lincoln, NE, USA",223.36,2994.42,40.49,3.46,0.6,11.70,342.18 ,42.09 ,8.13 ,8.4,55,32,13
55,5,A1,96.67,40.80,1573,10.90,792.00,1810,B,Forest,GC,"Lincoln, NE, USA",146.68,2964.48,44.78,3.79,0.6,11.80,342.18 ,42.09 ,8.13 ,8.4,55,32,13
56,6,A1,9.21,48.71,354,10.50,659.00,884,C,Cropland,GC,"University of Hohenheim, Germany",36.00,707.00,20.10,1.52,0.6,13.22,286.71 ,54.03 ,5.31 ,7.50,60.90,24.40,14.70
57,7,A1,-94.00,44.15,539,3.00,620.00,1102,D,Grassland,GC,"Minnesota, USA",,,63.90,4.96,0.5,12.88,182.17 ,86.00 ,2.12 ,6.10,29.80,43.90,26.30
58,7,A1,-94.00,44.15,539,3.00,620.00,1102,D,Grassland,GC,"Minnesota, USA",,,33.80,2.93,0.5,11.54,182.17 ,86.00 ,2.12 ,5.80,50.00,30.00,20.00
59,7,A1,-94.00,44.15,539,3.00,620.00,1102,D,Cropland,GC,"Minnesota, USA",,,29.80,2.96,0.5,10.07,182.17 ,86.00 ,2.12 ,5.60,41.30,37.00,21.70
60,7,A1,-96.48,46.53,299,5.00,390.00,1091,D,Grassland,GC,"North Dakota, USA",,,50.70,4.39,0.5,11.55,150.38 ,84.08 ,1.79 ,6.00,33.00,47.00,20.00
61,7,A1,-96.48,46.53,299,5.00,390.00,1091,D,Grassland,GC,"North Dakota, USA",,,26.90,3.05,0.5,8.82,150.38 ,84.08 ,1.79 ,6.40,49.20,28.20,22.60
62,7,A1,-96.48,46.53,299,5.00,390.00,1091,D,Cropland,GC,"North Dakota, USA",,,28.50,2.88,0.5,9.90,150.38 ,84.08 ,1.79 ,5.50,44.90,34.30,20.80
63,7,A1,-96.48,46.53,299,5.00,490.00,1091,D,Grassland,GC,"North Dakota, USA",,,95.50,8.38,0.5,11.40,150.38 ,84.08 ,1.79 ,6.50,24.50,46.50,29.00
64,7,A1,-96.48,46.53,299,5.00,490.00,1091,D,Grassland,GC,"North Dakota, USA",,,37.30,3.80,0.5,9.82,150.38 ,84.08 ,1.79 ,7.30,41.30,34.20,24.50
65,7,A1,-96.48,46.53,299,5.00,490.00,1091,D,Cropland,GC,"North Dakota, USA",,,35.60,3.55,0.5,10.03,150.38 ,84.08 ,1.79 ,7.10,40.40,32.00,27.60
66,7,A1,-94.00,44.15,304,7.00,720.00,1102,D,Grassland,GC,"Minnesota, USA",,,49.70,4.06,0.5,12.24,182.17 ,86.00 ,2.12 ,7.20,45.90,28.90,25.20
67,7,A1,-94.00,44.15,304,7.00,720.00,1102,D,Grassland,GC,"Minnesota, USA",,,50.90,3.78,0.5,13.47,182.17 ,86.00 ,2.12 ,7.40,62.70,22.00,15.30
68,7,A1,-94.00,44.15,304,7.00,720.00,1102,D,Cropland,GC,"Minnesota, USA",,,25.10,1.98,0.5,12.68,182.17 ,86.00 ,2.12 ,7.50,63.40,21.60,15.00
69,7,A1,-92.01,41.56,253,10.00,840.00,1216,D,Grassland,GC,"Iowa, USA",,,56.50,4.75,0.5,11.89,228.86 ,75.05 ,3.05 ,6.10,4.00,66.00,30.00
70,7,A1,-92.01,41.56,253,10.00,840.00,1216,D,Grassland,GC,"Iowa, USA",,,35.60,2.86,0.5,12.45,228.86 ,75.05 ,3.05 ,6.90,4.00,65.00,31.00
71,7,A1,-92.01,41.56,253,10.00,840.00,1216,D,Cropland,GC,"Iowa, USA",,,28.40,2.71,0.5,10.48,228.86 ,75.05 ,3.05 ,5.70,3.00,67.00,30.00
72,7,A1,-100.00,41.50,917,11.00,720.00,1472,D,Grassland,GC,"Nebraska, USA",,,99.10,9.51,0.4,10.42,89.29 ,69.85 ,1.28 ,5.50,19.00,59.00,22.00
73,7,A1,-100.00,41.50,917,11.00,720.00,1472,D,Grassland,GC,"Nebraska, USA",,,23.90,2.18,0.4,10.96,89.29 ,69.85 ,1.28 ,5.00,9.00,58.00,33.00
74,7,A1,-100.00,41.50,917,11.00,720.00,1472,D,Cropland,GC,"Nebraska, USA",,,15.10,1.60,0.4,9.44,89.29 ,69.85 ,1.28 ,5.00,8.00,53.00,39.00
75,7,A1,-92.33,38.95,221,12.00,990.00,1369,D,Grassland,GC,"Missouri, USA",,,43.20,3.87,0.4,11.16,256.37 ,57.66 ,4.45 ,4.40,3.50,75.20,21.30
76,7,A1,-92.33,38.95,221,12.00,990.00,1369,D,Grassland,GC,"Missouri, USA",,,19.50,1.89,0.4,10.32,256.37 ,57.66 ,4.45 ,6.80,8.80,70.10,21.10
